"gene"	"enriched_in"	"Ontology_type"	"Ontology_accession"	"Ongology_description"	"Count_universe"	"%_query"	"%_universe"	"pval"	"adjpval"	"fold_change"	"Proteins_in_query"	"Count_query"
"WT1"	"correlated"	"GO"	"0070062"	"extracellular exosome "	"1936/17829"	43.0555555555556	10.8587133322116	1.84424886914297e-12	2.23891812713956e-09	3.96506973140496	"NEP_HUMAN;TMED9_HUMAN;SRSF7_HUMAN;IQGA2_HUMAN;KPCI_HUMAN;IGJ_HUMAN;ENPL_HUMAN;ITA3_HUMAN;CALB1_HUMAN;CYTM1_HUMAN;DAG1_HUMAN;BST2_HUMAN;HTRA1_HUMAN;NPNT_HUMAN;RIPR1_HUMAN;RHG23_HUMAN;PODXL_HUMAN;ROA2_HUMAN;SIA10_HUMAN;SEM5A_HUMAN;TBB2A_HUMAN;PODO_HUMAN;ACTN4_HUMAN;ANXA2_HUMAN;HSP7C_HUMAN;MYO1C_HUMAN;ITAV_HUMAN;BCAM_HUMAN;CLIC5_HUMAN;AIF1L_HUMAN;ARF6_HUMAN;CAN2_HUMAN"	"32/72"
"WT1"	"correlated"	"GO"	"0005576"	"extracellular region "	"1702/17829"	26.3888888888889	9.54624488193393	2.44402776997572e-05	0.0296704971275053	2.764321386604	"TICN2_HUMAN;IGJ_HUMAN;ENPL_HUMAN;KLK7_HUMAN;CRIM1_HUMAN;DAG1_HUMAN;KLK6_HUMAN;HTRA1_HUMAN;NPNT_HUMAN;PLA2R_HUMAN;VEGFA_HUMAN;MUCEN_HUMAN;THS7A_HUMAN;BMP7_HUMAN;ACTN4_HUMAN;ANXA2_HUMAN;HSP7C_HUMAN;IBP5_HUMAN;NDNF_HUMAN;BCAM_HUMAN"	"20/72"
"WT1"	"correlated"	"GO"	"0005925"	"focal adhesion "	"392/17829"	12.5	2.1986650961916	2.61299241740538e-05	0.0317217279473013	5.68526785714286	"NEP_HUMAN;ENPL_HUMAN;ITA3_HUMAN;DAG1_HUMAN;ACTN4_HUMAN;HSP7C_HUMAN;ITAV_HUMAN;AIF1L_HUMAN;ARF6_HUMAN;CAN2_HUMAN"	"10/72"
"WT1"	"correlated"	"GO"	"0005886"	"plasma membrane "	"4231/17829"	43.0555555555556	23.7310000560884	0.000205727644696826	0.249753360661946	1.81431694634838	"NEP_HUMAN;IQGA2_HUMAN;KPCI_HUMAN;CLCKB_HUMAN;ENPL_HUMAN;ITA3_HUMAN;CYTM1_HUMAN;CRIM1_HUMAN;DAG1_HUMAN;BST2_HUMAN;HTRA1_HUMAN;PLA2R_HUMAN;PP4C_HUMAN;PODXL_HUMAN;S4A11_HUMAN;RERG_HUMAN;TGON2_HUMAN;SEM5A_HUMAN;MUCEN_HUMAN;TGFR2_HUMAN;PODO_HUMAN;THS7A_HUMAN;ACTN4_HUMAN;ANXA2_HUMAN;HSP7C_HUMAN;MYO1C_HUMAN;ITAV_HUMAN;BCAM_HUMAN;GGT7_HUMAN;BORG2_HUMAN;ARF6_HUMAN;CAN2_HUMAN"	"32/72"
"WT1"	"correlated"	"GO"	"0001968"	"fibronectin binding "	"30/17829"	4.16666666666667	0.16826518593303	0.000290081468481705	0.35215890273679	24.7625	"ITA3_HUMAN;VEGFA_HUMAN;IBP5_HUMAN;ITAV_HUMAN"	"4/72"
"WT1"	"correlated"	"GO"	"0045121"	"membrane raft "	"225/17829"	8.33333333333333	1.26198889449773	0.000290786619447811	0.353014956009643	6.60333333333333	"NEP_HUMAN;BST2_HUMAN;PODXL_HUMAN;TGFR2_HUMAN;PODO_HUMAN;MYO1C_HUMAN;CAN2_HUMAN"	"7/72"
"WT1"	"correlated"	"GO"	"0030335"	"positive regulation of cell migration "	"228/17829"	8.33333333333333	1.27881541309103	0.000311575247857362	0.378252350898837	6.51644736842105	"RIPR1_HUMAN;PODXL_HUMAN;SEM5A_HUMAN;VEGFA_HUMAN;ACTN4_HUMAN;MYO1C_HUMAN;ITAV_HUMAN"	"7/72"
"WT1"	"correlated"	"GO"	"0010811"	"positive regulation of cell-substrate adhesion "	"33/17829"	4.16666666666667	0.185091704526334	0.000376428003593258	0.456983596362215	22.5113636363636	"TICN2_HUMAN;ITA3_HUMAN;NPNT_HUMAN;NDNF_HUMAN"	"4/72"
"WT1"	"correlated"	"GO"	"0099524"	"postsynaptic cytosol "	"12/17829"	2.77777777777778	0.0673060743732122	0.00133907806288446	1	41.2708333333333	"CALB1_HUMAN;DAG1_HUMAN;HSP7C_HUMAN"	"3/72"
"WT1"	"correlated"	"GO"	"0001570"	"vasculogenesis "	"56/17829"	4.16666666666667	0.314095013741657	0.00160682327744403	1	13.265625	"WT1_HUMAN;VEGFA_HUMAN;TGFR2_HUMAN;ITAV_HUMAN"	"4/72"
