"gene"	"enriched_in"	"Ontology_type"	"Ontology_accession"	"Ongology_description"	"Count_universe"	"%_query"	"%_universe"	"pval"	"adjpval"	"fold_change"	"Proteins_in_query"	"Count_query"
"WT1"	"correlated"	"GO"	"0005829"	"cytosol "	"4982/17829"	35.9550561797753	27.9432385439453	0.000386853371075297	1	1.28671757653395	"PDE1A_HUMAN;PLK1_HUMAN;VATB1_HUMAN;URM1_HUMAN;RAB31_HUMAN;SMAD3_HUMAN;RUVB2_HUMAN;SNAA_HUMAN;SPRE1_HUMAN;PSB6_HUMAN;SCFD1_HUMAN;DUS7_HUMAN;FHL1_HUMAN;CXXC5_HUMAN;GSTT1_HUMAN;LSM4_HUMAN;AP2A2_HUMAN;GPER1_HUMAN;1433G_HUMAN;ARHG6_HUMAN;DUS3_HUMAN;FOS_HUMAN;FOXC1_HUMAN;LIMS2_HUMAN;GLO2_HUMAN;HIPK1_HUMAN;ARI1B_HUMAN;AP1B1_HUMAN;GOLP3_HUMAN;IF4A1_HUMAN;HTR5B_HUMAN;IMA4_HUMAN;LYN_HUMAN;NDK7_HUMAN;IF2G_HUMAN;KPCI_HUMAN;FER_HUMAN;CSN4_HUMAN;KC1A_HUMAN;KLF7_HUMAN;CALB1_HUMAN;DNJA1_HUMAN;ENOA_HUMAN;HSBP1_HUMAN;FA13B_HUMAN;CDCA4_HUMAN;GUAD_HUMAN;GAS2_HUMAN;CASC3_HUMAN;EVPL_HUMAN;HAOX1_HUMAN;CACO1_HUMAN;DAG1_HUMAN;INADL_HUMAN;MMP14_HUMAN;PALLD_HUMAN;OLFM4_HUMAN;OASL_HUMAN;GIT1_HUMAN;EP300_HUMAN;IFIT1_HUMAN;LRGUK_HUMAN;MICA3_HUMAN;LSM7_HUMAN;MCAF1_HUMAN;NFKB2_HUMAN;RAP2A_HUMAN;PMVK_HUMAN;KR241_HUMAN;NOTC3_HUMAN;RPAB4_HUMAN;PP4C_HUMAN;PP6R3_HUMAN;SNX14_HUMAN;RL22_HUMAN;NXF2_HUMAN;RN19A_HUMAN;SOCS3_HUMAN;STAM1_HUMAN;NMI_HUMAN;SOSB2_HUMAN;SEGN_HUMAN;RN115_HUMAN;IFIT5_HUMAN;RPC1_HUMAN;VPS41_HUMAN;WT1_HUMAN;PWP3A_HUMAN;UBX11_HUMAN;RGS12_HUMAN;UBE2O_HUMAN;TBB5_HUMAN;TCPD_HUMAN;UGPA_HUMAN;TCPB_HUMAN;WDR1_HUMAN;DEN4C_HUMAN;ARRS_HUMAN;ABI2_HUMAN;BMI1_HUMAN;5NT3A_HUMAN;HOME1_HUMAN;HSP7C_HUMAN;IL15_HUMAN;IF4G2_HUMAN;NELFA_HUMAN;NUCB2_HUMAN;FYB1_HUMAN;DDX3X_HUMAN;HSPB2_HUMAN;IL12B_HUMAN;1433T_HUMAN;CEP89_HUMAN;DYRK2_HUMAN;4EBP1_HUMAN;CNBP_HUMAN;GEPH_HUMAN;GFPT1_HUMAN;GFRA3_HUMAN;GDIA_HUMAN;AMER1_HUMAN;CBPC6_HUMAN;CANB1_HUMAN;APR_HUMAN;CUX1_HUMAN;EI2BA_HUMAN;CPPED_HUMAN;EXOC2_HUMAN;AZIN1_HUMAN"	"129/356"
"WT1"	"correlated"	"GO"	"0098978"	"glutamatergic synapse "	"297/17829"	4.21348314606742	1.665825340737	0.00103078472340843	1	2.52936670071502	"SLIK4_HUMAN;SNAA_HUMAN;LYN_HUMAN;KPCI_HUMAN;CALB1_HUMAN;GPC4_HUMAN;GRID2_HUMAN;DAG1_HUMAN;GRM5_HUMAN;PURA_HUMAN;RL22_HUMAN;RN19A_HUMAN;HOME1_HUMAN;HSP7C_HUMAN;GRIA1_HUMAN;ACM1_HUMAN"	"16/356"
"WT1"	"correlated"	"GO"	"0043198"	"dendritic shaft "	"36/17829"	1.40449438202247	0.201918223119637	0.00105226870806402	1	6.95575842696629	"GPER1_HUMAN;JPH4_HUMAN;KIRR1_HUMAN;GRM5_HUMAN;HOME1_HUMAN;NAC1_HUMAN"	"6/356"
"WT1"	"correlated"	"GO"	"1902895"	"positive regulation of pri-miRNA transcription by RNA polymerase II "	"42/17829"	1.40449438202247	0.235571260306243	0.00196201766165195	1	5.96207865168539	"SMAD3_HUMAN;FOS_HUMAN;JUN_HUMAN;SRF_HUMAN;WT1_HUMAN;BMP2_HUMAN"	"6/356"
"WT1"	"correlated"	"GO"	"0032870"	"cellular response to hormone stimulus "	"26/17829"	1.12359550561798	0.145829827808626	0.00242080566162162	1	7.70484010371651	"ROBO2_HUMAN;FOS_HUMAN;FOSB_HUMAN;RAMP3_HUMAN;GLHA_HUMAN"	"5/356"
"WT1"	"correlated"	"GO"	"0099524"	"postsynaptic cytosol "	"12/17829"	0.842696629213483	0.0673060743732122	0.0026495919744308	1	12.5203651685393	"CALB1_HUMAN;DAG1_HUMAN;HOME1_HUMAN;HSP7C_HUMAN"	"4/356"
"WT1"	"correlated"	"GO"	"0070062"	"extracellular exosome "	"1936/17829"	15.7303370786517	10.8587133322116	0.00309728373402676	1	1.44863729222769	"VATB1_HUMAN;RUVB2_HUMAN;SEM3C_HUMAN;SRSF7_HUMAN;ROBO2_HUMAN;SNAA_HUMAN;PSB6_HUMAN;SSRD_HUMAN;FAT2_HUMAN;GSTT1_HUMAN;1433G_HUMAN;KNG1_HUMAN;FBRL_HUMAN;IF4A1_HUMAN;LYN_HUMAN;IF2G_HUMAN;KPCI_HUMAN;IGJ_HUMAN;BASI_HUMAN;COBL1_HUMAN;CALB1_HUMAN;DNJA1_HUMAN;ENOA_HUMAN;ENPP3_HUMAN;CYTS_HUMAN;AMPB_HUMAN;CYTM1_HUMAN;GPC4_HUMAN;GBG4_HUMAN;HBAZ_HUMAN;GALT3_HUMAN;EVPL_HUMAN;DAG1_HUMAN;INADL_HUMAN;OLFM4_HUMAN;CAH4_HUMAN;NPNT_HUMAN;PMVK_HUMAN;MRP1_HUMAN;RL22_HUMAN;SYUG_HUMAN;SCRB2_HUMAN;SEM5A_HUMAN;SVIP_HUMAN;TBB5_HUMAN;TCPD_HUMAN;UGPA_HUMAN;TCPB_HUMAN;WDR1_HUMAN;DEST_HUMAN;CFAD_HUMAN;HSP7C_HUMAN;NUCB2_HUMAN;DDX3X_HUMAN;1433T_HUMAN;GFPT1_HUMAN;AIF1L_HUMAN"	"57/356"
"WT1"	"correlated"	"GO"	"0003697"	"single-stranded DNA binding "	"94/17829"	1.96629213483146	0.527230915923495	0.00323776635475106	1	3.72947047573512	"PURB_HUMAN;ERCC5_HUMAN;RFA4_HUMAN;PURA_HUMAN;STN1_HUMAN;SOSB2_HUMAN;RFA1_HUMAN;CNBP_HUMAN"	"8/356"
"WT1"	"correlated"	"GO"	"0030198"	"extracellular matrix organization "	"148/17829"	2.52808988764045	0.83010825060295	0.00325725896953164	1	3.04549423018524	"COJA1_HUMAN;FOXF1_HUMAN;COAA1_HUMAN;MMP14_HUMAN;FOXF2_HUMAN;NFKB2_HUMAN;NPNT_HUMAN;CO2A1_HUMAN;CO4A6_HUMAN;ATS15_HUMAN"	"10/356"
"WT1"	"correlated"	"GO"	"0001657"	"ureteric bud development "	"35/17829"	1.12359550561798	0.196309383588536	0.00635172164944578	1	5.72359550561798	"SMAD3_HUMAN;ROBO2_HUMAN;FOXC1_HUMAN;NPNT_HUMAN;WT1_HUMAN"	"5/356"
