"gene"	"enriched_in"	"Ontology_type"	"Ontology_accession"	"Ongology_description"	"Count_universe"	"%_query"	"%_universe"	"pval"	"adjpval"	"fold_change"	"Proteins_in_query"	"Count_query"
"WT1"	"correlated"	"GO"	"0032496"	"response to lipopolysaccharide "	"124/17829"	1.89075630252101	0.695496101856526	0.000229494003515689	1	2.71857210626186	"LYAM2_HUMAN;SLPI_HUMAN;MAPK3_HUMAN;FOS_HUMAN;HDAC2_HUMAN;FER_HUMAN;JUND_HUMAN;NR4A1_HUMAN;PGDH_HUMAN;PALM3_HUMAN;UTER_HUMAN;PTN22_HUMAN;PF2R_HUMAN;CP1A1_HUMAN;PPBT_HUMAN;ADHX_HUMAN;CPSM_HUMAN;ADML_HUMAN;GGT5_HUMAN"	"19/952"
"WT1"	"correlated"	"GO"	"0032870"	"cellular response to hormone stimulus "	"26/17829"	0.735294117647059	0.145829827808626	0.000980064757475755	1	5.04213800904977	"ROBO2_HUMAN;FOS_HUMAN;FOSB_HUMAN;SLIT2_HUMAN;NCOA1_HUMAN;RAMP3_HUMAN;AIF1_HUMAN;GLHA_HUMAN"	"8/952"
"WT1"	"correlated"	"GO"	"0043065"	"positive regulation of apoptotic process "	"285/17829"	3.04621848739496	1.59851926636379	0.00138388669270332	1	1.90565015479876	"SFRP3_HUMAN;GPER1_HUMAN;MMP9_HUMAN;KNG1_HUMAN;HIP1R_HUMAN;IFIT2_HUMAN;IP6K2_HUMAN;FLCN_HUMAN;ING5_HUMAN;DNJA1_HUMAN;JUN_HUMAN;GA45B_HUMAN;C1QBP_HUMAN;MCL1_HUMAN;NR4A1_HUMAN;PGDH_HUMAN;SIAH1_HUMAN;ZBP1_HUMAN;SLIT2_HUMAN;NCOA1_HUMAN;WT1_HUMAN;PNMA3_HUMAN;RACK1_HUMAN;BMP7_HUMAN;IBP3_HUMAN;DDX3X_HUMAN;KCC1D_HUMAN;ADML_HUMAN;DNJA3_HUMAN;APR_HUMAN"	"30/952"
"WT1"	"correlated"	"GO"	"0030198"	"extracellular matrix organization "	"148/17829"	1.89075630252101	0.83010825060295	0.00170098844507068	1	2.27772257551669	"MMP9_HUMAN;COBA2_HUMAN;COJA1_HUMAN;FOXF1_HUMAN;ATS5_HUMAN;COAA1_HUMAN;MMP14_HUMAN;ERCC2_HUMAN;CGAT1_HUMAN;FOXF2_HUMAN;NFKB2_HUMAN;VITRN_HUMAN;NDNF_HUMAN;COMA1_HUMAN;CO2A1_HUMAN;CO3A1_HUMAN;CO4A6_HUMAN;ATS15_HUMAN;COSA1_HUMAN"	"19/952"
"WT1"	"correlated"	"GO"	"0048589"	"developmental growth "	"24/17829"	0.630252100840336	0.134612148746424	0.00309026438515571	1	4.68198529411765	"SMAD3_HUMAN;NIPBL_HUMAN;SRF_HUMAN;BMR1A_HUMAN;ADML_HUMAN;GLHA_HUMAN;GLI2_HUMAN"	"7/952"
"WT1"	"correlated"	"GO"	"0004745"	"NAD-retinol dehydrogenase activity "	"17/17829"	0.525210084033613	0.0953502720287173	0.00382331929942495	1	5.50821799307958	"RDH16_HUMAN;RDH10_HUMAN;DHRS3_HUMAN;H17B6_HUMAN;DRS7C_HUMAN;ADH6_HUMAN"	"6/952"
"WT1"	"correlated"	"GO"	"0007204"	"positive regulation of cytosolic calcium ion concentration "	"140/17829"	1.68067226890756	0.785237534354142	0.0049712393330938	1	2.14033613445378	"PE2R3_HUMAN;GPER1_HUMAN;ITPR3_HUMAN;GPR33_HUMAN;KNG1_HUMAN;GLP1R_HUMAN;GPR32_HUMAN;OREX_HUMAN;SWP70_HUMAN;PF2R_HUMAN;BKRB2_HUMAN;IL2_HUMAN;GNA13_HUMAN;GPR35_HUMAN;ADML_HUMAN;GASR_HUMAN;FPR2_HUMAN"	"17/952"
"WT1"	"correlated"	"GO"	"0034614"	"cellular response to reactive oxygen species "	"37/17829"	0.735294117647059	0.207527062650738	0.00548451279666844	1	3.5431240063593	"MMP9_HUMAN;FOS_HUMAN;FER_HUMAN;JUN_HUMAN;PAXI_HUMAN;MK09_HUMAN;RS3_HUMAN;NAC1_HUMAN"	"8/952"
"WT1"	"correlated"	"GO"	"0015935"	"small ribosomal subunit "	"19/17829"	0.525210084033613	0.106567951090919	0.00568571511045242	1	4.92840557275542	"RT06_HUMAN;RS21_HUMAN;RS4X_HUMAN;RS25_HUMAN;RS29_HUMAN;RACK1_HUMAN"	"6/952"
"WT1"	"correlated"	"GO"	"0030308"	"negative regulation of cell growth "	"117/17829"	1.47058823529412	0.656234225138819	0.00669154722077948	1	2.24095022624434	"SMAD3_HUMAN;SFRP3_HUMAN;FHL1_HUMAN;HS71B_HUMAN;IP6K2_HUMAN;FLCN_HUMAN;ENOA_HUMAN;GBG4_HUMAN;GREM1_HUMAN;RERG_HUMAN;SLIT2_HUMAN;WT1_HUMAN;RACK1_HUMAN;DDX3X_HUMAN;BMPR2_HUMAN"	"15/952"
"WT1"	"correlated"	"GO"	"0034105"	"positive regulation of tissue remodeling "	"6/17829"	0.315126050420168	0.0336530371866061	0.008106978831602	1	9.36397058823529	"IL15_HUMAN;IL23A_HUMAN;IL2_HUMAN;IL12B_HUMAN"	"4/952"
"WT1"	"correlated"	"GO"	"0048662"	"negative regulation of smooth muscle cell proliferation "	"31/17829"	0.630252100840336	0.173874025464131	0.00902250401159732	1	3.62476280834915	"PPARG_HUMAN;IL15_HUMAN;IBP3_HUMAN;IL12B_HUMAN;BMPR2_HUMAN;ACE2_HUMAN;AIF1_HUMAN"	"7/952"
"WT1"	"correlated"	"GO"	"0005829"	"cytosol "	"4982/17829"	31.0924369747899	27.9432385439453	0.0101521799242012	1	1.11269983706048	"KPYM_HUMAN;PDE1A_HUMAN;PCP4_HUMAN;PLK1_HUMAN;PSB9_HUMAN;VATB1_HUMAN;VATC1_HUMAN;VATC2_HUMAN;URM1_HUMAN;RAB31_HUMAN;RASFA_HUMAN;TACC2_HUMAN;RHOA_HUMAN;SMAD3_HUMAN;SMG8_HUMAN;RUVB2_HUMAN;PADI2_HUMAN;OSBL2_HUMAN;SPYA_HUMAN;PPARG_HUMAN;S27A2_HUMAN;TM1L1_HUMAN;TNNT2_HUMAN;PSB6_HUMAN;RS21_HUMAN;SCFD1_HUMAN;DUS7_HUMAN;FHL1_HUMAN;LSAMP_HUMAN;MAPK3_HUMAN;GSTT1_HUMAN;LSM4_HUMAN;M3K3_HUMAN;AP2A2_HUMAN;GPER1_HUMAN;HPCA_HUMAN;KI18B_HUMAN;KPB2_HUMAN;LIF_HUMAN;KIF15_HUMAN;KPB1_HUMAN;DUS3_HUMAN;ERF3A_HUMAN;FOS_HUMAN;FOXC1_HUMAN;C2CD3_HUMAN;GLO2_HUMAN;GSTM1_HUMAN;HINT1_HUMAN;HIPK1_HUMAN;HIP1R_HUMAN;IRS1_HUMAN;K1C16_HUMAN;HRH1_HUMAN;ARHGH_HUMAN;ARI1B_HUMAN;ANR12_HUMAN;CENPV_HUMAN;GOGA1_HUMAN;GOLP3_HUMAN;IF4A1_HUMAN;HTR5B_HUMAN;CABYR_HUMAN;HS71B_HUMAN;IFIT2_HUMAN;MYL3_HUMAN;NDK7_HUMAN;IF2G_HUMAN;KPCI_HUMAN;NCOR1_HUMAN;OSBL9_HUMAN;CC14A_HUMAN;KRT38_HUMAN;MOB1B_HUMAN;DIXC1_HUMAN;GSDMC_HUMAN;FLCN_HUMAN;FER_HUMAN;IF4B_HUMAN;KS6A6_HUMAN;CYH1_HUMAN;CSN4_HUMAN;EXOS7_HUMAN;HAUS2_HUMAN;FKBP8_HUMAN;KC1A_HUMAN;CALB1_HUMAN;DC1L2_HUMAN;DNJA1_HUMAN;ENOA_HUMAN;HSBP1_HUMAN;ERBB2_HUMAN;FA13B_HUMAN;ERRFI_HUMAN;CDCA4_HUMAN;AP1AR_HUMAN;HGFA_HUMAN;FXL15_HUMAN;FXL22_HUMAN;GAS2_HUMAN;CAZA3_HUMAN;CASC3_HUMAN;EVPL_HUMAN;HAOX1_HUMAN;CYC_HUMAN;MTMR8_HUMAN;BIG1_HUMAN;C1QBP_HUMAN;INADL_HUMAN;MCL1_HUMAN;PAXI_HUMAN;ORC4_HUMAN;NR4A1_HUMAN;MMP14_HUMAN;PALLD_HUMAN;OLFM4_HUMAN;NUD18_HUMAN;OASL_HUMAN;PGDH_HUMAN;DPYL1_HUMAN;GIT1_HUMAN;ERCC2_HUMAN;EP300_HUMAN;FYN_HUMAN;CAH1_HUMAN;ELK4_HUMAN;IFIT1_HUMAN;KCTD1_HUMAN;LRGUK_HUMAN;LTV1_HUMAN;NIPBL_HUMAN;PAK3_HUMAN;LSM7_HUMAN;MCAF1_HUMAN;NFKB2_HUMAN;RAP2A_HUMAN;PMVK_HUMAN;KR241_HUMAN;MK09_HUMAN;PSMG1_HUMAN;RLA2_HUMAN;RL37A_HUMAN;RL36A_HUMAN;RL36_HUMAN;POC5_HUMAN;MSS4_HUMAN;PFD3_HUMAN;NRF1_HUMAN;PAN2_HUMAN;RPAB4_HUMAN;PP4C_HUMAN;PKHG1_HUMAN;PP6R3_HUMAN;RHG44_HUMAN;P4R3A_HUMAN;SNX14_HUMAN;RL22_HUMAN;SIAH1_HUMAN;SPTN2_HUMAN;RS4X_HUMAN;SETD6_HUMAN;NXF2_HUMAN;RN19A_HUMAN;SOCS3_HUMAN;RS25_HUMAN;RHG19_HUMAN;MSX2_HUMAN;RERG_HUMAN;STAM1_HUMAN;RL23_HUMAN;S7A14_HUMAN;NMI_HUMAN;NEDD4_HUMAN;PLCG2_HUMAN;ZBP1_HUMAN;SOSB2_HUMAN;T22D3_HUMAN;VIME_HUMAN;SPRR3_HUMAN;RN115_HUMAN;RS3_HUMAN;SDHF2_HUMAN;IFIT5_HUMAN;NCOA1_HUMAN;FABP7_HUMAN;RPC1_HUMAN;TPPC8_HUMAN;STAC_HUMAN;VPS41_HUMAN;XPO1_HUMAN;WT1_HUMAN;RS29_HUMAN;PWP3A_HUMAN;SYUB_HUMAN;OSBL5_HUMAN;PLCG1_HUMAN;UGDH_HUMAN;ZMYM2_HUMAN;XRCC6_HUMAN;UBX11_HUMAN;UBP30_HUMAN;RGS12_HUMAN;TTC5_HUMAN;PTN22_HUMAN;SWP70_HUMAN;THA_HUMAN;UBE2O_HUMAN;MTMRE_HUMAN;PNISR_HUMAN;VPS36_HUMAN;UN45B_HUMAN;TTF2_HUMAN;RHG09_HUMAN;UGPA_HUMAN;PYRG1_HUMAN;ZN395_HUMAN;TYRO_HUMAN;TTP_HUMAN;UCK2_HUMAN;THIC_HUMAN;UMPS_HUMAN;WDR1_HUMAN;RACK1_HUMAN;RAD_HUMAN;ADHX_HUMAN;CCNT2_HUMAN;DEN4C_HUMAN;DEN5B_HUMAN;DHSO_HUMAN;ARRS_HUMAN;ATGA1_HUMAN;ABI2_HUMAN;BMI1_HUMAN;5NT3A_HUMAN;ACOT2_HUMAN;AHSA1_HUMAN;CCD13_HUMAN;AP1M2_HUMAN;IL15_HUMAN;GNA13_HUMAN;NBAS_HUMAN;NEK2_HUMAN;NELFA_HUMAN;GPCP1_HUMAN;NUCB2_HUMAN;ITSN2_HUMAN;K1C27_HUMAN;NGF_HUMAN;KIBRA_HUMAN;HUS1_HUMAN;GAMT_HUMAN;FYB1_HUMAN;GMDS_HUMAN;GPX1_HUMAN;DDX3X_HUMAN;GMPR2_HUMAN;HSPB2_HUMAN;HSPB1_HUMAN;IL12B_HUMAN;1433T_HUMAN;BTG2_HUMAN;CCNF_HUMAN;DYRK2_HUMAN;DUS15_HUMAN;4EBP1_HUMAN;AMOL2_HUMAN;AIF1_HUMAN;CNOT2_HUMAN;CNBP_HUMAN;GEPH_HUMAN;GFRA3_HUMAN;GDIA_HUMAN;GDIB_HUMAN;GLI2_HUMAN;ALMS1_HUMAN;AMER1_HUMAN;AP1S1_HUMAN;ADH6_HUMAN;DCAF7_HUMAN;CA198_HUMAN;FKB1A_HUMAN;CBPC6_HUMAN;CBR3_HUMAN;DNJA3_HUMAN;DEN1B_HUMAN;AK1D1_HUMAN;ADPRM_HUMAN;APR_HUMAN;CUX1_HUMAN;EI2BA_HUMAN;CPPED_HUMAN;CSN6_HUMAN;EXOC2_HUMAN;AZIN1_HUMAN;CHODL_HUMAN;CF298_HUMAN;FMNL1_HUMAN"	"297/952"
"WT1"	"correlated"	"GO"	"0042594"	"response to starvation "	"33/17829"	0.630252100840336	0.185091704526334	0.0116491444588247	1	3.40508021390374	"LRP11_HUMAN;HMCS2_HUMAN;OREX_HUMAN;ULK2_HUMAN;TTP_HUMAN;CPSM_HUMAN;ADML_HUMAN"	"7/952"
"WT1"	"correlated"	"GO"	"0043679"	"axon terminus "	"55/17829"	0.840336134453782	0.308486174210556	0.0121327022207862	1	2.72406417112299	"GPER1_HUMAN;DCE1_HUMAN;NEUT_HUMAN;DIXC1_HUMAN;CRFR2_HUMAN;SYUG_HUMAN;SYUB_HUMAN;NAC1_HUMAN;ACM1_HUMAN"	"9/952"
"WT1"	"correlated"	"GO"	"0005581"	"collagen trimer "	"57/17829"	0.840336134453782	0.319703853272758	0.0145103852855857	1	2.62848297213622	"MARCO_HUMAN;COBA2_HUMAN;COJA1_HUMAN;COAA1_HUMAN;C1QRF_HUMAN;LYOX_HUMAN;COMA1_HUMAN;CO2A1_HUMAN;COSA1_HUMAN"	"9/952"
