"gene"	"enriched_in"	"Ontology_type"	"Ontology_accession"	"Ongology_description"	"Count_universe"	"%_query"	"%_universe"	"pval"	"adjpval"	"fold_change"	"Proteins_in_query"	"Count_query"
"WT1"	"correlated"	"GO"	"0001228"	"DNA-binding transcription activator activity, RNA polymerase II-specific "	"440/17829"	3.80479735318445	2.46788939368445	0.00412112587958587	1	1.54172118204376	"PO2F3_HUMAN;SALL2_HUMAN;GRHL1_HUMAN;FEZF2_HUMAN;MLXIP_HUMAN;NKRF_HUMAN;CTCFL_HUMAN;EGR4_HUMAN;GSX1_HUMAN;KLF7_HUMAN;CEBPE_HUMAN;FEV_HUMAN;NPAS4_HUMAN;ETV2_HUMAN;NR1I2_HUMAN;SIX3_HUMAN;SOX4_HUMAN;ONEC3_HUMAN;PRRX1_HUMAN;OVOL2_HUMAN;NKX25_HUMAN;OTX2_HUMAN;PHX2B_HUMAN;PRGR_HUMAN;SRF_HUMAN;WT1_HUMAN;STOX2_HUMAN;ZN600_HUMAN;PO3F2_HUMAN;ZN594_HUMAN;ZN112_HUMAN;ZBT17_HUMAN;ZN668_HUMAN;NFAC2_HUMAN;ZIC1_HUMAN;ZN845_HUMAN;ZNF99_HUMAN;ZBT16_HUMAN;ZNF48_HUMAN;HXB3_HUMAN;HXD4_HUMAN;MYF5_HUMAN;MYOD1_HUMAN;IRF5_HUMAN;NDF2_HUMAN;GLIS3_HUMAN;CSRN1_HUMAN"	"47/1209"
"WT1"	"correlated"	"GO"	"0000978"	"RNA polymerase II cis-regulatory region sequence-specific DNA binding "	"1124/17829"	8.10587262200166	6.30433563295754	0.00833367771183098	1	1.285761592328	"PO2F3_HUMAN;SALL2_HUMAN;INSM1_HUMAN;DACH1_HUMAN;FOXO6_HUMAN;GRHL1_HUMAN;FEZF2_HUMAN;NF2L3_HUMAN;MLXIP_HUMAN;NKRF_HUMAN;CTCFL_HUMAN;DMRTB_HUMAN;EGR4_HUMAN;GSX1_HUMAN;KLF7_HUMAN;DLX1_HUMAN;CEBPE_HUMAN;FEZF1_HUMAN;FEV_HUMAN;ESR2_HUMAN;NPAS4_HUMAN;OLIG2_HUMAN;HEY2_HUMAN;KLF16_HUMAN;ETV2_HUMAN;NFAC4_HUMAN;PBX4_HUMAN;NR1I2_HUMAN;SIX3_HUMAN;SOX4_HUMAN;ONEC3_HUMAN;PRRX1_HUMAN;OVOL2_HUMAN;NKX25_HUMAN;OTX2_HUMAN;SP9_HUMAN;PHX2B_HUMAN;PRGR_HUMAN;SRF_HUMAN;SCRT2_HUMAN;NACC2_HUMAN;ZN677_HUMAN;WT1_HUMAN;ZFP28_HUMAN;ZFP82_HUMAN;ZSC12_HUMAN;ZN805_HUMAN;TZAP_HUMAN;ZN417_HUMAN;ZN600_HUMAN;ZN283_HUMAN;PO3F2_HUMAN;ZNF17_HUMAN;YAP1_HUMAN;PROX2_HUMAN;ZN594_HUMAN;ZN543_HUMAN;ZN569_HUMAN;ZN112_HUMAN;ZN215_HUMAN;VAX2_HUMAN;ZN454_HUMAN;ZN761_HUMAN;ZN771_HUMAN;ZN774_HUMAN;ZN418_HUMAN;ZBT17_HUMAN;ZN668_HUMAN;NFAC2_HUMAN;ZIC1_HUMAN;ZN408_HUMAN;ZN662_HUMAN;ZN845_HUMAN;ZN549_HUMAN;ZN888_HUMAN;ZNF99_HUMAN;ZN230_HUMAN;ZBT16_HUMAN;TCF7_HUMAN;ZBT37_HUMAN;Z324A_HUMAN;ZN154_HUMAN;ZN880_HUMAN;ZNF48_HUMAN;TLX3_HUMAN;HXB3_HUMAN;HXD1_HUMAN;HXD4_HUMAN;HXA2_HUMAN;MYF5_HUMAN;MYOD1_HUMAN;MYCL_HUMAN;IRF5_HUMAN;MED12_HUMAN;NDF2_HUMAN;GLIS3_HUMAN;DMRTA_HUMAN;DMTA2_HUMAN;CDK9_HUMAN"	"99/1209"
"WT1"	"correlated"	"GO"	"0004984"	"olfactory receptor activity "	"359/17829"	2.97766749379653	2.01357339166526	0.0199717601222949	1	1.47879759740664	"OR5M3_HUMAN;O13C5_HUMAN;O10AG_HUMAN;OR1C1_HUMAN;OR4KD_HUMAN;OR4D2_HUMAN;O4A47_HUMAN;OR9K2_HUMAN;OR5P3_HUMAN;OR2A2_HUMAN;O51F1_HUMAN;OR5M9_HUMAN;O6C76_HUMAN;OR2T4_HUMAN;OR5MA_HUMAN;OR1B1_HUMAN;O10AC_HUMAN;OR1K1_HUMAN;O2AG2_HUMAN;O51J1_HUMAN;O52E6_HUMAN;OR6M1_HUMAN;OR5L1_HUMAN;O10T2_HUMAN;OR8B8_HUMAN;OR4DB_HUMAN;OR5C1_HUMAN;O5AN1_HUMAN;OR2H1_HUMAN;OR4CD_HUMAN;O51B6_HUMAN;OR5BL_HUMAN;O6C74_HUMAN;O51B5_HUMAN;O52A1_HUMAN;OR1J4_HUMAN;GP148_HUMAN"	"37/1209"
"WT1"	"correlated"	"GO"	"0060347"	"heart trabecula formation "	"14/17829"	0.33085194375517	0.0785237534354142	0.0223845363611202	1	4.21339950372208	"RET4_HUMAN;HEY2_HUMAN;OVOL2_HUMAN;NKX25_HUMAN;SRF_HUMAN"	"5/1209"
"WT1"	"correlated"	"GO"	"0016491"	"oxidoreductase activity "	"110/17829"	1.15798180314309	0.616972348421112	0.0247588393025632	1	1.87687796074893	"OXLA_HUMAN;SCD_HUMAN;STEA1_HUMAN;CP3A4_HUMAN;CP2C9_HUMAN;P33MX_HUMAN;SCD5_HUMAN;S5A1_HUMAN;MTRR_HUMAN;TYRP2_HUMAN;XDH_HUMAN;CP1A1_HUMAN;D39U1_HUMAN;CP26A_HUMAN;DHI1L_HUMAN"	"15/1209"
"WT1"	"correlated"	"GO"	"0006357"	"regulation of transcription by RNA polymerase II "	"1450/17829"	9.7601323407775	8.13281732009647	0.0252057755290477	1	1.2000924103705	"PO2F3_HUMAN;SALL2_HUMAN;MASTR_HUMAN;DACH1_HUMAN;FOXO6_HUMAN;I2BPL_HUMAN;GRHL1_HUMAN;NF2L3_HUMAN;MLXIP_HUMAN;CTCFL_HUMAN;DMRTB_HUMAN;EGR4_HUMAN;GSX1_HUMAN;KLF7_HUMAN;EPC1_HUMAN;DLX1_HUMAN;CEBPE_HUMAN;FEZF1_HUMAN;FEV_HUMAN;ESR2_HUMAN;NPAS4_HUMAN;OLIG2_HUMAN;HEY2_HUMAN;KLF16_HUMAN;ETV2_HUMAN;NFAC4_HUMAN;PBX4_HUMAN;KDM3A_HUMAN;SIM1_HUMAN;SIX3_HUMAN;ONEC3_HUMAN;PRRX1_HUMAN;OVOL2_HUMAN;SP140_HUMAN;NKX25_HUMAN;RMP_HUMAN;OTX2_HUMAN;SP9_HUMAN;PHX2B_HUMAN;PRGR_HUMAN;SRF_HUMAN;NACC2_HUMAN;ZN677_HUMAN;WT1_HUMAN;TBL1Y_HUMAN;ZFP28_HUMAN;ZFP82_HUMAN;ZSC12_HUMAN;ZN805_HUMAN;TZAP_HUMAN;ZN417_HUMAN;ZN600_HUMAN;TFDP1_HUMAN;ZN283_HUMAN;PO3F2_HUMAN;ZNF17_HUMAN;PROX2_HUMAN;ZN555_HUMAN;ZN594_HUMAN;ZNF10_HUMAN;ZN543_HUMAN;ZN569_HUMAN;ZN112_HUMAN;ZN215_HUMAN;VAX2_HUMAN;ZN436_HUMAN;ZN454_HUMAN;ZN761_HUMAN;ZN771_HUMAN;ZN774_HUMAN;ZN266_HUMAN;ZN418_HUMAN;ZBT17_HUMAN;ZN668_HUMAN;NFAC2_HUMAN;ZIC1_HUMAN;ZN408_HUMAN;ZN662_HUMAN;ZN845_HUMAN;ZN549_HUMAN;ZN888_HUMAN;ZNF99_HUMAN;ZN230_HUMAN;ZN614_HUMAN;ZBT16_HUMAN;ZFP57_HUMAN;TCF7_HUMAN;Z705B_HUMAN;ZNF35_HUMAN;ZBT37_HUMAN;TRPS1_HUMAN;Z324A_HUMAN;ZN154_HUMAN;ZN880_HUMAN;ZNF48_HUMAN;TLX3_HUMAN;RAI1_HUMAN;RHXF2_HUMAN;CCNL2_HUMAN;HXB3_HUMAN;HXB8_HUMAN;HXD1_HUMAN;HXD4_HUMAN;HXA2_HUMAN;MYF5_HUMAN;MYOD1_HUMAN;MYCL_HUMAN;IRF5_HUMAN;NUCKS_HUMAN;MED12_HUMAN;NDF2_HUMAN;MED11_HUMAN;BARX1_HUMAN;GLIS3_HUMAN;DMRTA_HUMAN;DMBX1_HUMAN;ARI5B_HUMAN;CSRN1_HUMAN;DMTA2_HUMAN"	"119/1209"
"WT1"	"correlated"	"GO"	"0005506"	"iron ion binding "	"118/17829"	1.24069478908189	0.66184306466992	0.0274251070160391	1	1.87460571140177	"SCD_HUMAN;CP3A4_HUMAN;CP2C9_HUMAN;CP21A_HUMAN;CP4FN_HUMAN;P4HA1_HUMAN;KDM3A_HUMAN;LOX12_HUMAN;SCD5_HUMAN;TPH2_HUMAN;XDH_HUMAN;CP1A1_HUMAN;NGAL_HUMAN;ACON_HUMAN;C11B1_HUMAN;CP26A_HUMAN"	"16/1209"
"WT1"	"correlated"	"GO"	"0051569"	"regulation of histone H3-K4 methylation "	"9/17829"	0.248138957816377	0.0504795557799091	0.0343365597610753	1	4.91563275434243	"CTCFL_HUMAN;NNMT_HUMAN;PYGO2_HUMAN;PIHD1_HUMAN"	"4/1209"
"WT1"	"correlated"	"GO"	"0001867"	"complement activation, lectin pathway "	"10/17829"	0.248138957816377	0.0560883953110102	0.0426283951292541	1	4.42406947890819	"MASP1_HUMAN;FCN1_HUMAN;MBL2_HUMAN;MFAP4_HUMAN"	"4/1209"
"WT1"	"correlated"	"GO"	"1990907"	"beta-catenin-TCF complex "	"10/17829"	0.248138957816377	0.0560883953110102	0.0426283951292541	1	4.42406947890819	"LDB1_HUMAN;PYGO2_HUMAN;TLE1_HUMAN;TCF7_HUMAN"	"4/1209"
