"enriched_for"	"type"	"Ontology_type"	"Ontology_accession"	"Ongology_description"	"Count_query"	"Count_universe"	"%_query"	"%_universe"	"pval"	"adjpval"	"fold_change"	"Proteins_in_query"
"low_in_alport_f"	"GO"	"GO"	"0000978"	"RNA polymerase II cis-regulatory region sequence-specific DNA binding "	"103/911"	"1124/17829"	11.3062568605928	6.30433563295754	1.3219250883986e-08	5.73451103347313e-05	1.79340972924829	"PER1_HUMAN;SPIB_HUMAN;RORA_HUMAN;JDP2_HUMAN;MAZ_HUMAN;IRF8_HUMAN;IRX5_HUMAN;MEIS3_HUMAN;NF2L3_HUMAN;HEN2_HUMAN;HIF3A_HUMAN;IRF9_HUMAN;EOMES_HUMAN;CR3L3_HUMAN;EMX1_HUMAN;KLF4_HUMAN;KLF6_HUMAN;DLX1_HUMAN;ELK1_HUMAN;JUN_HUMAN;NR1H3_HUMAN;PAX7_HUMAN;NR4A1_HUMAN;HSFY1_HUMAN;PRDM5_HUMAN;CEBPB_HUMAN;NRIP1_HUMAN;SOX4_HUMAN;SPIC_HUMAN;OVOL1_HUMAN;SOX2_HUMAN;SP9_HUMAN;SOX12_HUMAN;STA5A_HUMAN;IRX3_HUMAN;TEAD1_HUMAN;ZNF28_HUMAN;ZN431_HUMAN;ZIC3_HUMAN;RFX2_HUMAN;TF2L1_HUMAN;ZSA5B_HUMAN;ZNF43_HUMAN;PKNX2_HUMAN;TZAP_HUMAN;ZN813_HUMAN;ZN461_HUMAN;ZN551_HUMAN;ZN468_HUMAN;ZN417_HUMAN;ZN600_HUMAN;ZN430_HUMAN;PO2F2_HUMAN;ZFY_HUMAN;ZNF90_HUMAN;ZN587_HUMAN;SYSC_HUMAN;NKX62_HUMAN;NFIX_HUMAN;ZN334_HUMAN;ZN140_HUMAN;ZN454_HUMAN;ZN253_HUMAN;ZN506_HUMAN;ZN761_HUMAN;ZN763_HUMAN;ZN770_HUMAN;ZN771_HUMAN;ZN776_HUMAN;ZN267_HUMAN;ZN782_HUMAN;ZN470_HUMAN;ZN208_HUMAN;ZN595_HUMAN;Z324B_HUMAN;ZN816_HUMAN;ZN845_HUMAN;ZN888_HUMAN;ZN138_HUMAN;ZN723_HUMAN;ZN737_HUMAN;ZN492_HUMAN;ZN500_HUMAN;ZN540_HUMAN;ZN611_HUMAN;ZN37A_HUMAN;ZN383_HUMAN;ZBT16_HUMAN;ZNF85_HUMAN;Z354C_HUMAN;ZN879_HUMAN;ZBT7B_HUMAN;ZN577_HUMAN;TLX1_HUMAN;ZN814_HUMAN;NKX24_HUMAN;RD23B_HUMAN;BHE23_HUMAN;ATF2_HUMAN;NFYA_HUMAN;IRF4_HUMAN;CRX_HUMAN;GLI4_HUMAN"
"low_in_alport_f"	"GO"	"GO"	"0000981"	"DNA-binding transcription factor activity, RNA polymerase II-specific "	"105/911"	"1179/17829"	11.5257958287596	6.6128218071681	4.00932505798925e-08	0.000173924521015574	1.7429466821964	"SPIB_HUMAN;RORA_HUMAN;JDP2_HUMAN;MAZ_HUMAN;MNX1_HUMAN;IRF8_HUMAN;DUX1_HUMAN;IRX5_HUMAN;MEIS3_HUMAN;NF2L3_HUMAN;HEN2_HUMAN;HIF3A_HUMAN;HMX1_HUMAN;IRF9_HUMAN;EOMES_HUMAN;CR3L3_HUMAN;EMX1_HUMAN;KLF4_HUMAN;KLF6_HUMAN;DLX1_HUMAN;ELK1_HUMAN;ETV3_HUMAN;JUN_HUMAN;NR1H3_HUMAN;PAX7_HUMAN;NR4A1_HUMAN;HSFY1_HUMAN;CEBPB_HUMAN;SOX4_HUMAN;SPIC_HUMAN;OVOL1_HUMAN;TCF24_HUMAN;SOX2_HUMAN;SP9_HUMAN;SOX12_HUMAN;STA5A_HUMAN;IRX3_HUMAN;TEAD1_HUMAN;ZNF28_HUMAN;ZN431_HUMAN;ZIC3_HUMAN;RFX2_HUMAN;TF2L1_HUMAN;ZGLP1_HUMAN;ZSA5B_HUMAN;PKNX2_HUMAN;ZN813_HUMAN;ZN461_HUMAN;ZN551_HUMAN;ZN468_HUMAN;ZN417_HUMAN;ZFP41_HUMAN;ZN430_HUMAN;PO2F2_HUMAN;Z587B_HUMAN;ZFY_HUMAN;ZN599_HUMAN;ZNF90_HUMAN;ZN587_HUMAN;NKX62_HUMAN;NFIX_HUMAN;ZN334_HUMAN;ZN140_HUMAN;ZN454_HUMAN;ZN253_HUMAN;ZN506_HUMAN;ZN761_HUMAN;ZN764_HUMAN;ZN771_HUMAN;ZN776_HUMAN;ZN470_HUMAN;ZN595_HUMAN;Z324B_HUMAN;ZN816_HUMAN;ZN888_HUMAN;ZN799_HUMAN;ZN684_HUMAN;ZN138_HUMAN;ZN723_HUMAN;ZN737_HUMAN;ZN492_HUMAN;ZN500_HUMAN;ZN540_HUMAN;ZN611_HUMAN;ZN37A_HUMAN;ZN625_HUMAN;ZN391_HUMAN;ZFP57_HUMAN;ZNF85_HUMAN;Z354C_HUMAN;ZN879_HUMAN;ZBT7B_HUMAN;ZN577_HUMAN;ZN669_HUMAN;TLX1_HUMAN;ZHX3_HUMAN;NKX24_HUMAN;BHE23_HUMAN;ATF2_HUMAN;HXB8_HUMAN;NFYA_HUMAN;IRF4_HUMAN;CRX_HUMAN;BARH2_HUMAN;GLI4_HUMAN"
"low_in_alport_f"	"GO"	"GO"	"0005634"	"nucleus "	"312/911"	"5058/17829"	34.2480790340285	28.3695103483089	2.22314849375597e-05	0.0964401816591339	1.2072143161283	"MGN_HUMAN;PDZD2_HUMAN;PER1_HUMAN;PHF5A_HUMAN;PEPL1_HUMAN;PHAX_HUMAN;PHF7_HUMAN;PGAM2_HUMAN;PDE4C_HUMAN;PDE4D_HUMAN;PDCD2_HUMAN;PDCD4_HUMAN;TRFL_HUMAN;VCY2_HUMAN;RASD1_HUMAN;RL10L_HUMAN;MT1A_HUMAN;PAPOB_HUMAN;SAAL1_HUMAN;TOM34_HUMAN;TSYL2_HUMAN;RHOC_HUMAN;S10A5_HUMAN;TP4A3_HUMAN;RPR1B_HUMAN;SAMD1_HUMAN;SPIB_HUMAN;MT1M_HUMAN;RIOK2_HUMAN;RLA0_HUMAN;RORA_HUMAN;RPAB1_HUMAN;FGF11_HUMAN;M1BL1_HUMAN;JARD2_HUMAN;H10_HUMAN;H13_HUMAN;JDP2_HUMAN;MCRI2_HUMAN;M3KCL_HUMAN;MAZ_HUMAN;MNX1_HUMAN;KHDC4_HUMAN;AAKB2_HUMAN;JADE1_HUMAN;K2C5_HUMAN;H31T_HUMAN;IRF8_HUMAN;COF1_HUMAN;DUX1_HUMAN;DPOD1_HUMAN;H2B1M_HUMAN;KDM5D_HUMAN;FANCC_HUMAN;IRX5_HUMAN;COMD5_HUMAN;H2A3_HUMAN;MEIS3_HUMAN;MEX3D_HUMAN;OGG1_HUMAN;CDKL4_HUMAN;HS71B_HUMAN;NF2L3_HUMAN;HEN2_HUMAN;HMX1_HUMAN;HSPB8_HUMAN;ID3_HUMAN;IRF9_HUMAN;FUS_HUMAN;NMES1_HUMAN;IPO13_HUMAN;MT1X_HUMAN;CDY2_HUMAN;CDCA2_HUMAN;CCNO_HUMAN;CRYAB_HUMAN;EOMES_HUMAN;CTBP2_HUMAN;KCRB_HUMAN;KDM4E_HUMAN;EXOS3_HUMAN;MAGA4_HUMAN;CR3L3_HUMAN;EMX1_HUMAN;KLF6_HUMAN;CAR19_HUMAN;CDN1A_HUMAN;DDX3Y_HUMAN;CXCR4_HUMAN;EPC1_HUMAN;DLX1_HUMAN;ELK1_HUMAN;ERH_HUMAN;ERRFI_HUMAN;ETV3_HUMAN;H12_HUMAN;H2A1A_HUMAN;JUN_HUMAN;DMP1_HUMAN;FRIH_HUMAN;H1FNT_HUMAN;H18_HUMAN;CC137_HUMAN;CALR_HUMAN;H2A2A_HUMAN;KCY_HUMAN;NR1H3_HUMAN;KS6B1_HUMAN;PAX7_HUMAN;NR4A1_HUMAN;PCGF2_HUMAN;HSFY1_HUMAN;INAVA_HUMAN;ITA2_HUMAN;MAGA3_HUMAN;IP6K3_HUMAN;CCS_HUMAN;PRDM5_HUMAN;GTR14_HUMAN;NANGN_HUMAN;EXOS5_HUMAN;IQGA1_HUMAN;MCM5_HUMAN;LDHC_HUMAN;MICA2_HUMAN;RBM3_HUMAN;RPB11_HUMAN;CEBPB_HUMAN;NCBP2_HUMAN;MT1E_HUMAN;PRD13_HUMAN;NRIP1_HUMAN;MEPCE_HUMAN;PAR14_HUMAN;SFRP4_HUMAN;SIR6_HUMAN;SOX4_HUMAN;SPIC_HUMAN;RS4Y1_HUMAN;OVOL1_HUMAN;PTK6_HUMAN;SETLP_HUMAN;RS6_HUMAN;SF3B2_HUMAN;RL27_HUMAN;SPR2A_HUMAN;SNURF_HUMAN;SERF1_HUMAN;ST65G_HUMAN;TET5B_HUMAN;TCF24_HUMAN;S10A6_HUMAN;OTU7A_HUMAN;OVCA2_HUMAN;SOX2_HUMAN;SP9_HUMAN;RED1_HUMAN;SSRP1_HUMAN;TLE6_HUMAN;PSMD1_HUMAN;RSF1_HUMAN;SPB3_HUMAN;T22D3_HUMAN;SENP3_HUMAN;TBA3C_HUMAN;RFOX3_HUMAN;REXO1_HUMAN;PASK_HUMAN;UTF1_HUMAN;PRIC4_HUMAN;FABPL_HUMAN;FBXL8_HUMAN;IRX3_HUMAN;SMBP2_HUMAN;STOX2_HUMAN;ZNF28_HUMAN;ZN431_HUMAN;ZIC3_HUMAN;RFX2_HUMAN;TBB2B_HUMAN;TSPY1_HUMAN;TF2L1_HUMAN;ZGLP1_HUMAN;ZSA5B_HUMAN;ZNF43_HUMAN;TZAP_HUMAN;ZN813_HUMAN;ZN461_HUMAN;ZN551_HUMAN;ZN468_HUMAN;ZN417_HUMAN;ZFP41_HUMAN;ZN600_HUMAN;PPIA_HUMAN;RHOB_HUMAN;ZN430_HUMAN;PO2F2_HUMAN;Z587B_HUMAN;ZFY_HUMAN;MRNIP_HUMAN;ZN599_HUMAN;ZNF90_HUMAN;WDR4_HUMAN;ZN587_HUMAN;SYSC_HUMAN;UBP3_HUMAN;NKX62_HUMAN;NFIX_HUMAN;ZN334_HUMAN;ZN140_HUMAN;ZN454_HUMAN;ZN253_HUMAN;ZN761_HUMAN;ZN763_HUMAN;ZN764_HUMAN;ZN770_HUMAN;ZN771_HUMAN;ZN776_HUMAN;ZN267_HUMAN;ZN782_HUMAN;USP9Y_HUMAN;ZN470_HUMAN;ZN208_HUMAN;STABP_HUMAN;PCID2_HUMAN;ZN595_HUMAN;PRKX_HUMAN;TET3_HUMAN;UBB_HUMAN;Z324B_HUMAN;ZN816_HUMAN;ZN845_HUMAN;ZN703_HUMAN;ZN888_HUMAN;SUMO4_HUMAN;ZN799_HUMAN;ZN592_HUMAN;ZN684_HUMAN;ZN138_HUMAN;ZN723_HUMAN;ZN737_HUMAN;ZN492_HUMAN;ZN503_HUMAN;ZN540_HUMAN;ZN346_HUMAN;ZN611_HUMAN;ZN363_HUMAN;ZN37A_HUMAN;ZN625_HUMAN;ZN391_HUMAN;ZBT16_HUMAN;ZFP57_HUMAN;ZNF85_HUMAN;Z354C_HUMAN;ZN879_HUMAN;ZN577_HUMAN;ZN669_HUMAN;TLX1_HUMAN;UB2L5_HUMAN;TTP_HUMAN;ZHX3_HUMAN;ZN814_HUMAN;NKX24_HUMAN;PP1B_HUMAN;RD23B_HUMAN;RBTN1_HUMAN;R3HD4_HUMAN;R7BP_HUMAN;RA51B_HUMAN;RGS22_HUMAN;RGS2_HUMAN;AGAP9_HUMAN;ADPRS_HUMAN;DIC_HUMAN;BHE23_HUMAN;5NT1B_HUMAN;ATF2_HUMAN;DAZ4_HUMAN;FBX7_HUMAN;HXB8_HUMAN;IKBA_HUMAN;CPLX2_HUMAN;NFYA_HUMAN;IRF4_HUMAN;LEG7_HUMAN;NUCKS_HUMAN;K1614_HUMAN;NDRG2_HUMAN;CHD5_HUMAN;DUS1_HUMAN;CRX_HUMAN;K2C8_HUMAN;CDN2D_HUMAN;KCC4_HUMAN;ARF_HUMAN;CP078_HUMAN;BARH2_HUMAN;AIF1_HUMAN;CASP2_HUMAN;CHIP_HUMAN;CIKS_HUMAN;CLIC3_HUMAN;GLI4_HUMAN;DSCR6_HUMAN;CTND2_HUMAN;CC110_HUMAN;DCP1B_HUMAN;ARL2_HUMAN;CHP1_HUMAN;AQP1_HUMAN;FIZ1_HUMAN;APBP2_HUMAN"
"low_in_alport_f"	"GO"	"GO"	"0006412"	"translation "	"23/911"	"167/17829"	2.52469813391877	0.93667620169387	3.60525509725445e-05	0.156395966118898	2.695379822134	"RS15A_HUMAN;RL10L_HUMAN;RL35A_HUMAN;RT18C_HUMAN;RLA0_HUMAN;ERF3B_HUMAN;RL36_HUMAN;RL39_HUMAN;RL31_HUMAN;RS4Y1_HUMAN;RS6_HUMAN;RL27_HUMAN;RS16_HUMAN;RM33_HUMAN;RL23_HUMAN;RM04_HUMAN;SMBP2_HUMAN;RM34_HUMAN;RL8_HUMAN;RS29_HUMAN;RL21_HUMAN;SYSC_HUMAN;EF1A2_HUMAN"
"low_in_alport_f"	"GO"	"GO"	"0006357"	"regulation of transcription by RNA polymerase II "	"109/911"	"1450/17829"	11.9648737650933	8.13281732009647	3.80656634317837e-05	0.165128847967078	1.47118437488171	"PEBB_HUMAN;SPIB_HUMAN;RORA_HUMAN;JDP2_HUMAN;MAZ_HUMAN;IRF8_HUMAN;DUX1_HUMAN;IRX5_HUMAN;MEIS3_HUMAN;NF2L3_HUMAN;HEN2_HUMAN;HIF3A_HUMAN;HMX1_HUMAN;IRF9_HUMAN;FUS_HUMAN;EOMES_HUMAN;CR3L3_HUMAN;EMX1_HUMAN;KLF4_HUMAN;KLF6_HUMAN;EPC1_HUMAN;DLX1_HUMAN;ELK1_HUMAN;ETV3_HUMAN;JUN_HUMAN;PAX7_HUMAN;NR4A1_HUMAN;HSFY1_HUMAN;CEBPB_HUMAN;SPIC_HUMAN;OVOL1_HUMAN;TCF24_HUMAN;SP9_HUMAN;T22D3_HUMAN;UTF1_HUMAN;STA5A_HUMAN;IRX3_HUMAN;TEAD1_HUMAN;ZNF28_HUMAN;ZIC3_HUMAN;RFX2_HUMAN;TF2L1_HUMAN;ZGLP1_HUMAN;ZSA5B_HUMAN;ZNF43_HUMAN;PKNX2_HUMAN;TZAP_HUMAN;ZN813_HUMAN;ZN461_HUMAN;ZN551_HUMAN;ZN468_HUMAN;ZN417_HUMAN;ZFP41_HUMAN;ZN600_HUMAN;PO2F2_HUMAN;Z587B_HUMAN;ZFY_HUMAN;ZN599_HUMAN;ZN587_HUMAN;NKX62_HUMAN;NFIX_HUMAN;ZN334_HUMAN;ZN140_HUMAN;ZN454_HUMAN;ZN761_HUMAN;ZN763_HUMAN;ZN764_HUMAN;ZN770_HUMAN;ZN771_HUMAN;ZN776_HUMAN;ZN267_HUMAN;ZZZ3_HUMAN;ZN782_HUMAN;ZN470_HUMAN;ZN208_HUMAN;ZN595_HUMAN;Z324B_HUMAN;ZN816_HUMAN;ZN845_HUMAN;ZN888_HUMAN;ZN799_HUMAN;ZN684_HUMAN;ZN500_HUMAN;ZN540_HUMAN;ZN611_HUMAN;ZN37A_HUMAN;ZN625_HUMAN;ZN383_HUMAN;ZN391_HUMAN;ZBT16_HUMAN;ZFP57_HUMAN;Z354C_HUMAN;ZN879_HUMAN;ZBT7B_HUMAN;ZN577_HUMAN;ZN669_HUMAN;TLX1_HUMAN;ZHX3_HUMAN;ZN814_HUMAN;NKX24_HUMAN;BHE23_HUMAN;ATF2_HUMAN;HXB8_HUMAN;NFYA_HUMAN;IRF4_HUMAN;NUCKS_HUMAN;CHD5_HUMAN;CRX_HUMAN;BARH2_HUMAN"
"low_in_alport_f"	"GO"	"GO"	"0045095"	"keratin filament "	"14/911"	"71/17829"	1.53677277716795	0.398227606708172	4.35957499003579e-05	0.189118363067753	3.85903124565174	"KRA58_HUMAN;K2C5_HUMAN;KRA91_HUMAN;KR109_HUMAN;KRA94_HUMAN;KRA59_HUMAN;KRA92_HUMAN;K1C18_HUMAN;KR123_HUMAN;KR10A_HUMAN;KR10B_HUMAN;KR124_HUMAN;KR103_HUMAN;K2C8_HUMAN"
"low_in_alport_f"	"GO"	"GO"	"0002181"	"cytoplasmic translation "	"14/911"	"84/17829"	1.53677277716795	0.471142520612485	0.000211528576668862	0.917610965589524	3.26180021953897	"RS15A_HUMAN;RL35A_HUMAN;RLA0_HUMAN;RL36_HUMAN;RL39_HUMAN;RL31_HUMAN;RS6_HUMAN;RL27_HUMAN;RS16_HUMAN;RL23_HUMAN;RL8_HUMAN;RS29_HUMAN;RL21_HUMAN;TMA7_HUMAN"
"low_in_alport_f"	"GO"	"GO"	"0045926"	"negative regulation of growth "	"6/911"	"15/17829"	0.658616904500549	0.0841325929665152	0.000329904661269582	1	7.82832052689352	"MT1A_HUMAN;MT1M_HUMAN;MT1X_HUMAN;MT1E_HUMAN;PTK6_HUMAN;BBC3_HUMAN"
"low_in_alport_f"	"GO"	"GO"	"0003735"	"structural constituent of ribosome "	"19/911"	"149/17829"	2.08562019758507	0.835717090134051	0.000402681011057146	1	2.49560553709693	"RS15A_HUMAN;RL10L_HUMAN;RL35A_HUMAN;RT18C_HUMAN;RLA0_HUMAN;RL36_HUMAN;RL39_HUMAN;RL31_HUMAN;RS4Y1_HUMAN;RS6_HUMAN;RL27_HUMAN;RS16_HUMAN;RM33_HUMAN;RL23_HUMAN;RM04_HUMAN;RM34_HUMAN;RL8_HUMAN;RS29_HUMAN;RL21_HUMAN"
"low_in_alport_f"	"GO"	"GO"	"0010273"	"detoxification of copper ion "	"5/911"	"11/17829"	0.548847420417124	0.0616972348421112	0.000670906564235042	1	8.89581878056082	"MT1A_HUMAN;MT1M_HUMAN;M1BL1_HUMAN;MT1X_HUMAN;MT1E_HUMAN"
