"enriched_in"	"Ontology_type"	"Ontology_accession"	"Ongology_description"	"Count_query"	"Count_universe"	"%_query"	"%_universe"	"pval"	"adjpval"	"fold_change"	"Proteins_in_query"
"Cluster_1"	"GO"	"0003735"	"structural constituent of ribosome "	"39/1002"	"149/17829"	3.89221556886228	0.835717090134051	7.95332569717532e-14	3.7969176878315e-10	4.65733633404332	"RL10L_HUMAN;RL35A_HUMAN;RS26_HUMAN;RT06_HUMAN;RT18C_HUMAN;RL26_HUMAN;RL7L_HUMAN;RLA0_HUMAN;RL6_HUMAN;RS12_HUMAN;RSSA_HUMAN;RL36_HUMAN;RL39_HUMAN;RM52_HUMAN;RL31_HUMAN;RM49_HUMAN;RS4Y1_HUMAN;RL15_HUMAN;RL34_HUMAN;RS6_HUMAN;RL7A_HUMAN;RL9_HUMAN;RL17_HUMAN;RS16_HUMAN;RS2_HUMAN;RM33_HUMAN;RS10_HUMAN;RL18_HUMAN;RL23_HUMAN;RL12_HUMAN;RL7_HUMAN;RS3_HUMAN;RM04_HUMAN;RM35_HUMAN;RS3A_HUMAN;RM34_HUMAN;RS28_HUMAN;RS29_HUMAN;RL21_HUMAN"
"Cluster_1"	"GO"	"0006412"	"translation "	"41/1002"	"167/17829"	4.09181636726547	0.93667620169387	1.11936833129452e-13	5.34386441360004e-10	4.36844275520815	"RL10L_HUMAN;RL35A_HUMAN;RS26_HUMAN;RT06_HUMAN;RT18C_HUMAN;RL26_HUMAN;RLA0_HUMAN;RL6_HUMAN;RS12_HUMAN;RSSA_HUMAN;ERF3B_HUMAN;RL36_HUMAN;RL39_HUMAN;RM52_HUMAN;RL31_HUMAN;RM49_HUMAN;RS4Y1_HUMAN;RL15_HUMAN;RL34_HUMAN;RS6_HUMAN;RL7A_HUMAN;RL9_HUMAN;RL17_HUMAN;RS16_HUMAN;RS2_HUMAN;RM33_HUMAN;RS10_HUMAN;RL18_HUMAN;RL23_HUMAN;RL12_HUMAN;RL7_HUMAN;RS3_HUMAN;RM04_HUMAN;RM35_HUMAN;RS3A_HUMAN;RM34_HUMAN;RS28_HUMAN;RS29_HUMAN;RL21_HUMAN;SYSC_HUMAN;EF1A2_HUMAN"
"Cluster_1"	"GO"	"0002181"	"cytoplasmic translation "	"29/1002"	"84/17829"	2.89421157684631	0.471142520612485	4.36371593843972e-13	2.08323798901112e-09	6.14296407185629	"RL35A_HUMAN;RS26_HUMAN;RL26_HUMAN;RLA0_HUMAN;RL6_HUMAN;RS12_HUMAN;RSSA_HUMAN;RL36_HUMAN;RL39_HUMAN;RL31_HUMAN;RL15_HUMAN;RL34_HUMAN;RS6_HUMAN;RL7A_HUMAN;RL9_HUMAN;RL17_HUMAN;RS16_HUMAN;RS2_HUMAN;RS10_HUMAN;RL18_HUMAN;RL23_HUMAN;RL12_HUMAN;RL7_HUMAN;RS3_HUMAN;RS3A_HUMAN;RS28_HUMAN;RS29_HUMAN;RL21_HUMAN;TMA7_HUMAN"
"Cluster_1"	"GO"	"0022626"	"cytosolic ribosome "	"25/1002"	"74/17829"	2.49500998003992	0.415054125301475	2.63427837809447e-11	1.2576044977023e-07	6.01128823434213	"RL35A_HUMAN;RL26_HUMAN;RLA0_HUMAN;RL6_HUMAN;RS12_HUMAN;RSSA_HUMAN;RL36_HUMAN;RL39_HUMAN;RL31_HUMAN;RL15_HUMAN;RL34_HUMAN;RS6_HUMAN;RL7A_HUMAN;RL9_HUMAN;RL17_HUMAN;RS16_HUMAN;RS2_HUMAN;RS10_HUMAN;RL18_HUMAN;RL23_HUMAN;RL12_HUMAN;RL7_HUMAN;RS3_HUMAN;RS3A_HUMAN;RL21_HUMAN"
"Cluster_1"	"GO"	"0022625"	"cytosolic large ribosomal subunit "	"19/1002"	"54/17829"	1.89620758483034	0.302877334679455	3.67598892537327e-09	1.7549171129732e-05	6.26064537591484	"RL10L_HUMAN;RL35A_HUMAN;RL26_HUMAN;RL7L_HUMAN;RLA0_HUMAN;RL6_HUMAN;RL36_HUMAN;RL39_HUMAN;RL31_HUMAN;RL15_HUMAN;RL34_HUMAN;RL7A_HUMAN;RL9_HUMAN;RL17_HUMAN;RL18_HUMAN;RL23_HUMAN;RL12_HUMAN;RL7_HUMAN;RL21_HUMAN"
"Cluster_1"	"GO"	"0003723"	"RNA binding "	"120/1002"	"1288/17829"	11.9760479041916	7.22418531605811	6.40432157014685e-08	0.000305742311758811	1.65777141369435	"PHAX_HUMAN;PDCD4_HUMAN;RBM8A_HUMAN;RBMX2_HUMAN;ROA1_HUMAN;RL35A_HUMAN;RS26_HUMAN;RU1C_HUMAN;SNW1_HUMAN;TR150_HUMAN;SRSF5_HUMAN;RL26_HUMAN;SHFL_HUMAN;SFPQ_HUMAN;RL7L_HUMAN;RLA0_HUMAN;RL6_HUMAN;RS12_HUMAN;RSSA_HUMAN;MDHM_HUMAN;H10_HUMAN;HNRPU_HUMAN;HS71A_HUMAN;LC7L3_HUMAN;FPPS_HUMAN;HMGB1_HUMAN;DAZP1_HUMAN;HNRPD_HUMAN;HNRPK_HUMAN;MEX3D_HUMAN;EIF3A_HUMAN;FUS_HUMAN;NSA2_HUMAN;CSRP1_HUMAN;MMTA2_HUMAN;ENPL_HUMAN;EXOS3_HUMAN;DDX3Y_HUMAN;ERH_HUMAN;EXOS6_HUMAN;FIP1_HUMAN;H12_HUMAN;K1C18_HUMAN;FUBP1_HUMAN;FCF1_HUMAN;CALX_HUMAN;HNRH3_HUMAN;HNRDL_HUMAN;PGS2_HUMAN;ERF3B_HUMAN;PAIRB_HUMAN;RL36_HUMAN;RL39_HUMAN;MEPCE_HUMAN;NP1L1_HUMAN;SMN_HUMAN;RU17_HUMAN;SARNP_HUMAN;RL31_HUMAN;RS4Y1_HUMAN;RL15_HUMAN;RRP8_HUMAN;RL34_HUMAN;RS6_HUMAN;SRSF9_HUMAN;ROA0_HUMAN;RL7A_HUMAN;RL9_HUMAN;ROA2_HUMAN;RL17_HUMAN;RS16_HUMAN;RS2_HUMAN;SURF6_HUMAN;RS10_HUMAN;RL18_HUMAN;RL23_HUMAN;SSRP1_HUMAN;SBDS_HUMAN;RUXG_HUMAN;RL12_HUMAN;RL7_HUMAN;RS3_HUMAN;SCG3_HUMAN;RM04_HUMAN;RS3A_HUMAN;RS28_HUMAN;PNO1_HUMAN;TSN_HUMAN;PPIA_HUMAN;RL21_HUMAN;UBP10_HUMAN;YBOX3_HUMAN;SYSC_HUMAN;ZMAT3_HUMAN;MYH9_HUMAN;PCID2_HUMAN;ZN346_HUMAN;TBCA_HUMAN;TTP_HUMAN;MSI2H_HUMAN;RCC2_HUMAN;RADI_HUMAN;ASSY_HUMAN;CCD47_HUMAN;ICAL_HUMAN;CH10_HUMAN;EIF3G_HUMAN;HNRC1_HUMAN;HNRL1_HUMAN;NUCKS_HUMAN;NPM_HUMAN;DDX5_HUMAN;NOC2L_HUMAN;EBP2_HUMAN;1433Z_HUMAN;CIRBP_HUMAN;CISD2_HUMAN;1433E_HUMAN;BTF3_HUMAN;DYHC1_HUMAN"
"Cluster_1"	"GO"	"0022627"	"cytosolic small ribosomal subunit "	"13/1002"	"41/17829"	1.29740518962076	0.229962420775142	2.81876631169804e-06	0.0134567903720465	5.64181393310939	"RS26_HUMAN;RS12_HUMAN;RSSA_HUMAN;HBA_HUMAN;RS4Y1_HUMAN;RS6_HUMAN;RS16_HUMAN;RS2_HUMAN;RS10_HUMAN;RS3_HUMAN;RS3A_HUMAN;RS28_HUMAN;RS29_HUMAN"
"Cluster_1"	"GO"	"0005634"	"nucleus "	"345/1002"	"5058/17829"	34.4311377245509	28.3695103483089	5.1474979267535e-06	0.0245741551023212	1.21366697210561	"KDM1A_HUMAN;PDZD2_HUMAN;PHAX_HUMAN;PHF7_HUMAN;PGAM2_HUMAN;PHC2_HUMAN;PDE4C_HUMAN;PDCD2_HUMAN;PDCD4_HUMAN;PCNP_HUMAN;PLTP_HUMAN;PITX2_HUMAN;SP7_HUMAN;SRGEF_HUMAN;RBM8A_HUMAN;RBMX2_HUMAN;ROA1_HUMAN;RL10L_HUMAN;MT1A_HUMAN;SAAL1_HUMAN;TIPIN_HUMAN;RGS10_HUMAN;SNW1_HUMAN;TR150_HUMAN;TOM34_HUMAN;TSYL2_HUMAN;S10A5_HUMAN;TIMP3_HUMAN;TP4A1_HUMAN;TP4A3_HUMAN;TP53B_HUMAN;SHFL_HUMAN;RPR1B_HUMAN;SFPQ_HUMAN;SPIB_HUMAN;MT1M_HUMAN;RIOK2_HUMAN;RLA0_HUMAN;RL6_HUMAN;RPAB1_HUMAN;RSSA_HUMAN;HIC1_HUMAN;MAPK5_HUMAN;MDHM_HUMAN;JARD2_HUMAN;H10_HUMAN;HNRPU_HUMAN;MAT2B_HUMAN;MCRI2_HUMAN;M3KCL_HUMAN;ARL4A_HUMAN;DACH1_HUMAN;HS71A_HUMAN;MNX1_HUMAN;MOB2_HUMAN;KANK1_HUMAN;H2AZ_HUMAN;H2B1L_HUMAN;LC7L3_HUMAN;COF1_HUMAN;DUX1_HUMAN;ERF_HUMAN;HMGB1_HUMAN;FOXC1_HUMAN;CDN1B_HUMAN;CHCH2_HUMAN;DPOD1_HUMAN;H2B1M_HUMAN;KDM5D_HUMAN;HNRPD_HUMAN;IRX5_HUMAN;H2A3_HUMAN;HNRPK_HUMAN;ARI5A_HUMAN;MEX3D_HUMAN;OGG1_HUMAN;CBX3_HUMAN;HEN2_HUMAN;KPCI_HUMAN;H2B1H_HUMAN;HMX1_HUMAN;HSPB8_HUMAN;ID3_HUMAN;IRF9_HUMAN;FUS_HUMAN;NMES1_HUMAN;CSRP1_HUMAN;MT1X_HUMAN;CCNO_HUMAN;ENPL_HUMAN;EOMES_HUMAN;ID2_HUMAN;CTBL1_HUMAN;CTBP2_HUMAN;CITE2_HUMAN;EXOS3_HUMAN;MAGA4_HUMAN;MED15_HUMAN;EMX1_HUMAN;FMN2_HUMAN;CDKA2_HUMAN;BNI3L_HUMAN;CBX8_HUMAN;CHD7_HUMAN;DDX3Y_HUMAN;DUX4_HUMAN;FBW1B_HUMAN;HMGN1_HUMAN;EPC1_HUMAN;DLX1_HUMAN;ELK1_HUMAN;ERH_HUMAN;ERRFI_HUMAN;ETV3_HUMAN;EXOS6_HUMAN;HES7_HUMAN;H12_HUMAN;FX4L5_HUMAN;FUBP1_HUMAN;FRIH_HUMAN;CALM3_HUMAN;H1FNT_HUMAN;H18_HUMAN;H2A2A_HUMAN;MEGF8_HUMAN;NUPR1_HUMAN;HNRH3_HUMAN;NR4A1_HUMAN;MTCH2_HUMAN;PCGF2_HUMAN;HNRDL_HUMAN;INAVA_HUMAN;KLF16_HUMAN;MAGA3_HUMAN;KAT7_HUMAN;DNJB6_HUMAN;PRDM5_HUMAN;GTR14_HUMAN;NANGN_HUMAN;MCM5_HUMAN;PAIRB_HUMAN;MCRI1_HUMAN;NR1H2_HUMAN;RPB11_HUMAN;CHD8_HUMAN;MT1E_HUMAN;PP4R2_HUMAN;MEPCE_HUMAN;NP1L1_HUMAN;PAR14_HUMAN;SGK1_HUMAN;SMN_HUMAN;SIR6_HUMAN;RU17_HUMAN;SOX10_HUMAN;SOX4_HUMAN;PMS2_HUMAN;SARNP_HUMAN;RS4Y1_HUMAN;RL15_HUMAN;PTK6_HUMAN;SETLP_HUMAN;MLIP_HUMAN;NOTC2_HUMAN;PSB3_HUMAN;RS6_HUMAN;SSBP3_HUMAN;SSXT_HUMAN;SEPT7_HUMAN;ROA0_HUMAN;RL7A_HUMAN;SNURF_HUMAN;SERF1_HUMAN;RL9_HUMAN;RN151_HUMAN;ROA2_HUMAN;RL17_HUMAN;RS2_HUMAN;S10A6_HUMAN;TBB4B_HUMAN;RERG_HUMAN;SMCA2_HUMAN;SOX2_HUMAN;SP100_HUMAN;SP9_HUMAN;RL18_HUMAN;SSRP1_HUMAN;PSMD1_HUMAN;RSF1_HUMAN;SPB3_HUMAN;SPB9_HUMAN;STX1B_HUMAN;T22D3_HUMAN;SENP3_HUMAN;TBA3C_HUMAN;REXO1_HUMAN;SBDS_HUMAN;SALL4_HUMAN;RUXG_HUMAN;TBA3E_HUMAN;RL7_HUMAN;UFD1_HUMAN;UBP18_HUMAN;RS3_HUMAN;FABPL_HUMAN;RS3A_HUMAN;ZN141_HUMAN;TLK2_HUMAN;ZNF28_HUMAN;ZN431_HUMAN;ZIC3_HUMAN;TBB2B_HUMAN;TSPY1_HUMAN;TF2L1_HUMAN;TSN_HUMAN;XIAP_HUMAN;TXTP_HUMAN;ZGLP1_HUMAN;ZNF43_HUMAN;UB2V1_HUMAN;TZAP_HUMAN;ZEB1_HUMAN;ZN813_HUMAN;ZN461_HUMAN;ZN468_HUMAN;ZSA5A_HUMAN;ZN600_HUMAN;TFDP1_HUMAN;ZN841_HUMAN;YAP1_HUMAN;PPIA_HUMAN;RHOB_HUMAN;ZN430_HUMAN;ZN574_HUMAN;UBP10_HUMAN;Z587B_HUMAN;ZNF90_HUMAN;YBOX3_HUMAN;ZN587_HUMAN;SYSC_HUMAN;TMM8B_HUMAN;NKX62_HUMAN;ZN717_HUMAN;ZN253_HUMAN;ZN761_HUMAN;ZN763_HUMAN;ZN770_HUMAN;ZN771_HUMAN;ZN776_HUMAN;ZN267_HUMAN;ZN782_HUMAN;ZN529_HUMAN;ZN208_HUMAN;MFAP3_HUMAN;MYH9_HUMAN;OPTN_HUMAN;PCID2_HUMAN;ZN595_HUMAN;TET3_HUMAN;UBB_HUMAN;ZN578_HUMAN;ZN816_HUMAN;ZN845_HUMAN;ZN888_HUMAN;ZN799_HUMAN;ZN592_HUMAN;TM250_HUMAN;ZN684_HUMAN;ZN138_HUMAN;ZN723_HUMAN;ZN737_HUMAN;ZN492_HUMAN;ZN346_HUMAN;ZN611_HUMAN;ZN363_HUMAN;ZN616_HUMAN;ZN626_HUMAN;ZBT16_HUMAN;ZNF85_HUMAN;ZN879_HUMAN;TLX1_HUMAN;UB2L5_HUMAN;TTP_HUMAN;ZN814_HUMAN;ZNF93_HUMAN;BIRC5_HUMAN;NKX24_HUMAN;PP1B_HUMAN;RD23B_HUMAN;RANG_HUMAN;R113A_HUMAN;R3HD4_HUMAN;R7BP_HUMAN;AGAP9_HUMAN;ADPRS_HUMAN;ASSY_HUMAN;ACD11_HUMAN;BHE23_HUMAN;5NT1B_HUMAN;ATF2_HUMAN;CC038_HUMAN;HXB3_HUMAN;HXB8_HUMAN;IKBA_HUMAN;D19L2_HUMAN;HNRC1_HUMAN;HNRL1_HUMAN;MYOME_HUMAN;NEK2_HUMAN;NFYA_HUMAN;IRF4_HUMAN;NUCKS_HUMAN;NPM_HUMAN;DDX5_HUMAN;H33_HUMAN;NOC2L_HUMAN;CHD5_HUMAN;DUS1_HUMAN;CRX_HUMAN;K2C8_HUMAN;CDN2D_HUMAN;AGAP1_HUMAN;ARF_HUMAN;DNSL3_HUMAN;CP078_HUMAN;BARH2_HUMAN;BAF_HUMAN;1433Z_HUMAN;AIF1_HUMAN;CASP2_HUMAN;CINP_HUMAN;CIRBP_HUMAN;CNBP1_HUMAN;CIKS_HUMAN;CLIC3_HUMAN;GLI4_HUMAN;1433E_HUMAN;ADA19_HUMAN;DSCR6_HUMAN;BTF3_HUMAN;CC110_HUMAN;ARL2_HUMAN;ATPO_HUMAN;FIZ1_HUMAN;APBP2_HUMAN"
"Cluster_1"	"GO"	"0000978"	"RNA polymerase II cis-regulatory region sequence-specific DNA binding "	"99/1002"	"1124/17829"	9.88023952095808	6.30433563295754	9.86618670878483e-06	0.0471011753477388	1.5672134378929	"PITX2_HUMAN;SP7_HUMAN;TR150_HUMAN;SPIB_HUMAN;HIC1_HUMAN;HNRPU_HUMAN;DACH1_HUMAN;H2AZ_HUMAN;FOXC1_HUMAN;IRX5_HUMAN;HEN2_HUMAN;IRF9_HUMAN;EOMES_HUMAN;EMX1_HUMAN;GZF1_HUMAN;KLF8_HUMAN;CHD7_HUMAN;DUX4_HUMAN;DLX1_HUMAN;ELK1_HUMAN;HES7_HUMAN;FX4L5_HUMAN;NR4A1_HUMAN;KLF16_HUMAN;PRDM5_HUMAN;NR1H2_HUMAN;SOX10_HUMAN;SOX4_HUMAN;SOX2_HUMAN;SP9_HUMAN;SALL4_HUMAN;STA5A_HUMAN;ZN141_HUMAN;TEAD1_HUMAN;MAD3_HUMAN;ZNF28_HUMAN;ZN431_HUMAN;ZIC3_HUMAN;TF2L1_HUMAN;ZNF43_HUMAN;PKNX2_HUMAN;TZAP_HUMAN;ZEB1_HUMAN;ZN813_HUMAN;ZN461_HUMAN;ZN468_HUMAN;ZSA5A_HUMAN;ZN600_HUMAN;ZN841_HUMAN;YAP1_HUMAN;ZN430_HUMAN;ZN574_HUMAN;ZNF90_HUMAN;ZN587_HUMAN;SYSC_HUMAN;NKX62_HUMAN;ZN717_HUMAN;ZN253_HUMAN;ZN761_HUMAN;ZN763_HUMAN;ZN770_HUMAN;ZN771_HUMAN;ZN776_HUMAN;ZN267_HUMAN;ZN782_HUMAN;ZN208_HUMAN;ZN595_HUMAN;ZN578_HUMAN;ZN816_HUMAN;ZN845_HUMAN;ZN888_HUMAN;ZN138_HUMAN;ZN723_HUMAN;ZN737_HUMAN;ZN492_HUMAN;ZN500_HUMAN;ZN611_HUMAN;ZN616_HUMAN;ZN383_HUMAN;ZN626_HUMAN;ZBT16_HUMAN;ZNF85_HUMAN;ZN879_HUMAN;ZBT7B_HUMAN;TLX1_HUMAN;ZN814_HUMAN;ZNF93_HUMAN;NKX24_HUMAN;RD23B_HUMAN;BHE23_HUMAN;ATF2_HUMAN;HXB3_HUMAN;MZF1_HUMAN;NFYA_HUMAN;IRF4_HUMAN;H33_HUMAN;CRX_HUMAN;E2F8_HUMAN;GLI4_HUMAN"
"Cluster_1"	"GO"	"0070062"	"extracellular exosome "	"153/1002"	"1936/17829"	15.2694610778443	10.8587133322116	1.0742096170056e-05	0.0512827671158471	1.40619432622359	"PGK1_HUMAN;PGAM2_HUMAN;PGAM4_HUMAN;PD1L1_HUMAN;PDCD2_HUMAN;VATF_HUMAN;PALS1_HUMAN;RAB1B_HUMAN;RAB21_HUMAN;RAC3_HUMAN;ROA1_HUMAN;RL35A_HUMAN;RS26_HUMAN;TR150_HUMAN;RL26_HUMAN;RLA0_HUMAN;RSSA_HUMAN;LG3BP_HUMAN;MDHM_HUMAN;MAL2_HUMAN;MAT2B_HUMAN;HS71A_HUMAN;H2AZ_HUMAN;H2B1L_HUMAN;IPYR_HUMAN;COF1_HUMAN;H2B1M_HUMAN;HBA_HUMAN;H2A3_HUMAN;K1C28_HUMAN;HLAE_HUMAN;HNRPK_HUMAN;METRL_HUMAN;NUCB1_HUMAN;FKBP5_HUMAN;AMY1A_HUMAN;CDC37_HUMAN;KPCI_HUMAN;H2B1H_HUMAN;CSRP1_HUMAN;ENPL_HUMAN;GTR5_HUMAN;CAD13_HUMAN;CD22_HUMAN;KRT36_HUMAN;CATZ_HUMAN;ADA15_HUMAN;CAR11_HUMAN;CHMP3_HUMAN;F10A1_HUMAN;ANGT_HUMAN;K1C18_HUMAN;FRIH_HUMAN;DRB1_HUMAN;CATD_HUMAN;GLUT4_HUMAN;GSTA1_HUMAN;H18_HUMAN;CALX_HUMAN;CH3L1_HUMAN;H2A2A_HUMAN;MEGF8_HUMAN;CHM1B_HUMAN;HBB_HUMAN;P3C2A_HUMAN;PAL4A_HUMAN;HTRA1_HUMAN;MPCP_HUMAN;PAIRB_HUMAN;ML12A_HUMAN;ML12B_HUMAN;RL31_HUMAN;SPTN4_HUMAN;PSB3_HUMAN;RL34_HUMAN;PKRI1_HUMAN;SEPT7_HUMAN;S22AD_HUMAN;ROA2_HUMAN;RS16_HUMAN;RS2_HUMAN;S10A6_HUMAN;TGM1_HUMAN;PA1B2_HUMAN;TBB4B_HUMAN;RL23_HUMAN;SDCB2_HUMAN;SPB3_HUMAN;SPB9_HUMAN;STX4_HUMAN;VIME_HUMAN;RL12_HUMAN;RS3_HUMAN;FABPL_HUMAN;PHP14_HUMAN;RS3A_HUMAN;CR1_HUMAN;RS28_HUMAN;RS29_HUMAN;WNT7B_HUMAN;TXTP_HUMAN;UB2V1_HUMAN;VAMP8_HUMAN;PPIA_HUMAN;RHOB_HUMAN;TGBR3_HUMAN;TTYH3_HUMAN;SYSC_HUMAN;MYH9_HUMAN;PXL2B_HUMAN;TPM3_HUMAN;UBB_HUMAN;TCPH_HUMAN;PTGDS_HUMAN;PP1B_HUMAN;RAP2B_HUMAN;RALA_HUMAN;RADI_HUMAN;A1AT_HUMAN;AK1A1_HUMAN;ADHX_HUMAN;CDC42_HUMAN;DEST_HUMAN;ARP3B_HUMAN;ARRD1_HUMAN;ASSY_HUMAN;ARF5_HUMAN;FAM3C_HUMAN;CH10_HUMAN;LFG3_HUMAN;NUCB2_HUMAN;DDX5_HUMAN;H33_HUMAN;HLAC_HUMAN;K2C8_HUMAN;HEBP1_HUMAN;ECH1_HUMAN;CSK_HUMAN;1433Z_HUMAN;CALL3_HUMAN;CO1A2_HUMAN;CLIC3_HUMAN;A1AG2_HUMAN;ACO11_HUMAN;1433E_HUMAN;CAB45_HUMAN;DPP2_HUMAN;DYHC1_HUMAN;ARF6_HUMAN;CD79B_HUMAN;AT1B1_HUMAN;CRTP1_HUMAN;ES8L2_HUMAN"
