"gene"	"enriched_in"	"Ontology_type"	"Ontology_accession"	"Ongology_description"	"Count_universe"	"%_query"	"%_universe"	"pval"	"adjpval"	"fold_change"	"Proteins_in_query"	"Count_query"
"WT1"	"correlated"	"GO"	"0001570"	"vasculogenesis "	"56/17829"	3.37078651685393	0.314095013741657	2.90005597023113e-05	0.0483729335834553	10.7317415730337	"EGFL7_HUMAN;PAXI1_HUMAN;WT1_HUMAN;VGFR2_HUMAN;YAP1_HUMAN;TGFR2_HUMAN;AMOT_HUMAN"	"7/178"
"WT1"	"correlated"	"GO"	"0000122"	"negative regulation of transcription by RNA polymerase II "	"816/17829"	9.55056179775281	4.57681305737843	0.00317781830267616	1	2.08672752808989	"CXXC5_HUMAN;INSM2_HUMAN;KLF10_HUMAN;KLF7_HUMAN;COT2_HUMAN;CDN1C_HUMAN;P66A_HUMAN;FHL2_HUMAN;MAGB3_HUMAN;NACC2_HUMAN;WT1_HUMAN;YAP1_HUMAN;ZNF79_HUMAN;ZN266_HUMAN;WFS1_HUMAN;TCF21_HUMAN;TBX3_HUMAN;BARX2_HUMAN"	"18/178"
"WT1"	"correlated"	"GO"	"0001822"	"kidney development "	"111/17829"	2.80898876404494	0.622581187952213	0.00533876734297658	1	4.51184330397814	"LHX1_HUMAN;CDN1C_HUMAN;PYGO2_HUMAN;WT1_HUMAN;WFS1_HUMAN;TCF21_HUMAN"	"6/178"
"WT1"	"correlated"	"GO"	"0043066"	"negative regulation of apoptotic process "	"453/17829"	6.17977528089888	2.54080430758876	0.00546516457977486	1	2.43221221817099	"PDPN_HUMAN;S40A1_HUMAN;FHL2_HUMAN;WT1_HUMAN;PRAME_HUMAN;VGFR2_HUMAN;ZO1_HUMAN;WFS1_HUMAN;TBX3_HUMAN;ANXA1_HUMAN;LFG4_HUMAN;BIRC2_HUMAN"	"12/178"
"WT1"	"correlated"	"GO"	"0060065"	"uterus development "	"15/17829"	1.12359550561798	0.0841325929665152	0.0114297817765352	1	13.3550561797753	"RET4_HUMAN;LHX1_HUMAN;CDN1C_HUMAN"	"3/178"
"WT1"	"correlated"	"GO"	"0009952"	"anterior/posterior pattern specification "	"87/17829"	2.24719101123596	0.487969039205788	0.0116513191648844	1	4.60519178612941	"LHX1_HUMAN;COT2_HUMAN;SCMH1_HUMAN;HXB7_HUMAN;HXD4_HUMAN"	"5/178"
"WT1"	"correlated"	"GO"	"0008360"	"regulation of cell shape "	"137/17829"	2.80898876404494	0.768411015760839	0.0122270854578371	1	3.65558107110637	"PDPN_HUMAN;RHBT1_HUMAN;PKHO1_HUMAN;VGFR2_HUMAN;ANXA1_HUMAN;BORG2_HUMAN"	"6/178"
"WT1"	"correlated"	"GO"	"0030054"	"cell junction "	"192/17829"	3.37078651685393	1.0768971899714	0.0125252845982552	1	3.13009129213483	"PDPN_HUMAN;INADL_HUMAN;VGFR2_HUMAN;ZO1_HUMAN;ACTN4_HUMAN;HXD4_HUMAN;AMOT_HUMAN"	"7/178"
"WT1"	"correlated"	"GO"	"0051010"	"microtubule plus-end binding "	"19/17829"	1.12359550561798	0.106567951090919	0.0172100783412387	1	10.5434654050857	"KI18A_HUMAN;CLIP2_HUMAN;CLIP3_HUMAN"	"3/178"
"WT1"	"correlated"	"GO"	"0005634"	"nucleus "	"5058/17829"	35.9550561797753	28.3695103483089	0.018173327839043	1	1.26738374185293	"SYRC_HUMAN;TNKS2_HUMAN;CXXC5_HUMAN;MMS19_HUMAN;KI18A_HUMAN;INSM2_HUMAN;LHX1_HUMAN;BRD2_HUMAN;MS18A_HUMAN;KLF10_HUMAN;KLF7_HUMAN;DMRTC_HUMAN;CLIP2_HUMAN;COT2_HUMAN;CDN1C_HUMAN;INVS_HUMAN;PAXI1_HUMAN;ONCO_HUMAN;PCBP4_HUMAN;P66A_HUMAN;H2AJ_HUMAN;FHL2_HUMAN;MAGB3_HUMAN;MGN2_HUMAN;SENP5_HUMAN;SCMH1_HUMAN;PTTG_HUMAN;NACC2_HUMAN;PKHO1_HUMAN;WT1_HUMAN;PRAME_HUMAN;VGFR2_HUMAN;ZSC12_HUMAN;ZN283_HUMAN;YAP1_HUMAN;MAFA_HUMAN;ZNF79_HUMAN;TCAL5_HUMAN;TXND9_HUMAN;ZN266_HUMAN;ZN655_HUMAN;TCF21_HUMAN;ZN230_HUMAN;TBX3_HUMAN;ZN880_HUMAN;ANXA1_HUMAN;ARP5_HUMAN;ACTN4_HUMAN;ANXA2_HUMAN;HXB7_HUMAN;HXD4_HUMAN;HS12A_HUMAN;MYCN_HUMAN;NAA20_HUMAN;NGN2_HUMAN;MED11_HUMAN;IF4E_HUMAN;DPOLA_HUMAN;DYRK4_HUMAN;CLIP3_HUMAN;BIRC2_HUMAN;GASP2_HUMAN;BARX2_HUMAN;CAN7_HUMAN;EYA3_HUMAN"	"65/178"
"WT1"	"correlated"	"GO"	"0001525"	"angiogenesis "	"218/17829"	3.37078651685393	1.22272701778002	0.0216502358653969	1	2.75677765178848	"PK3CA_HUMAN;EGFL7_HUMAN;VGFR2_HUMAN;THY1_HUMAN;THS7A_HUMAN;ANXA2_HUMAN;AMOT_HUMAN"	"7/178"
"WT1"	"correlated"	"GO"	"0000785"	"chromatin "	"918/17829"	8.98876404494382	5.14891468955073	0.0238896602105679	1	1.7457589777484	"LHX1_HUMAN;BRD2_HUMAN;MS18A_HUMAN;KLF10_HUMAN;KLF7_HUMAN;DMRTC_HUMAN;NACC2_HUMAN;PRAME_HUMAN;MAFA_HUMAN;TCF21_HUMAN;TBX3_HUMAN;RCOR2_HUMAN;HXB7_HUMAN;HXD4_HUMAN;MYCN_HUMAN;NGN2_HUMAN;BARX2_HUMAN"	"17/178"
"WT1"	"correlated"	"GO"	"0006357"	"regulation of transcription by RNA polymerase II "	"1450/17829"	12.9213483146067	8.13281732009647	0.0246163264693591	1	1.58879116621465	"LHX1_HUMAN;BRD2_HUMAN;KLF10_HUMAN;KLF7_HUMAN;COT2_HUMAN;NACC2_HUMAN;WT1_HUMAN;ZSC12_HUMAN;ZN283_HUMAN;MAFA_HUMAN;ZNF79_HUMAN;ZN266_HUMAN;ZN655_HUMAN;TCF21_HUMAN;ZN230_HUMAN;TBX3_HUMAN;ZN880_HUMAN;RCOR2_HUMAN;HXB7_HUMAN;HXD4_HUMAN;MYCN_HUMAN;NGN2_HUMAN;MED11_HUMAN;BARX2_HUMAN"	"24/178"
"WT1"	"correlated"	"GO"	"0030336"	"negative regulation of cell migration "	"111/17829"	2.24719101123596	0.622581187952213	0.0252678655738829	1	3.60947464318251	"RAP2C_HUMAN;DAG1_HUMAN;OSBL8_HUMAN;RAP2A_HUMAN;THY1_HUMAN"	"5/178"
"WT1"	"correlated"	"GO"	"0005923"	"bicellular tight junction "	"116/17829"	2.24719101123596	0.650625385607718	0.0289466291558227	1	3.45389383959706	"RAP2C_HUMAN;INADL_HUMAN;RHG17_HUMAN;ZO1_HUMAN;AMOT_HUMAN"	"5/178"
"WT1"	"correlated"	"GO"	"0045892"	"negative regulation of transcription, DNA-templated "	"484/17829"	5.61797752808989	2.71467833305289	0.0295735161192028	1	2.06948184603956	"LHX1_HUMAN;KLF10_HUMAN;COT2_HUMAN;CDN1C_HUMAN;P66A_HUMAN;SCMH1_HUMAN;NACC2_HUMAN;WT1_HUMAN;PRAME_HUMAN;TBX3_HUMAN;RCOR2_HUMAN"	"11/178"
"WT1"	"correlated"	"GO"	"0000981"	"DNA-binding transcription factor activity, RNA polymerase II-specific "	"1179/17829"	10.6741573033708	6.6128218071681	0.0308750330516775	1	1.61416073419676	"LHX1_HUMAN;KLF10_HUMAN;KLF7_HUMAN;NACC2_HUMAN;WT1_HUMAN;ZSC12_HUMAN;ZN283_HUMAN;MAFA_HUMAN;ZNF79_HUMAN;ZN266_HUMAN;ZN655_HUMAN;TCF21_HUMAN;ZN230_HUMAN;TBX3_HUMAN;ZN880_HUMAN;HXB7_HUMAN;HXD4_HUMAN;MYCN_HUMAN;NGN2_HUMAN;BARX2_HUMAN"	"20/178"
"WT1"	"correlated"	"GO"	"0017156"	"calcium-ion regulated exocytosis "	"28/17829"	1.12359550561798	0.157047506870828	0.0336957387795996	1	7.15449438202247	"SYT9_HUMAN;PP2BB_HUMAN;RHG17_HUMAN"	"3/178"
"WT1"	"correlated"	"GO"	"0030285"	"integral component of synaptic vesicle membrane "	"29/17829"	1.12359550561798	0.162656346401929	0.0357956165085736	1	6.90778767919411	"SYT9_HUMAN;SYPH_HUMAN;WFS1_HUMAN"	"3/178"
